zip,json
01270,"{""latitude"": 42.514920000000004, ""longitude"": -73.04125}"
01301,"{""latitude"": 42.62406, ""longitude"": -72.60401}"
01330,"{""latitude"": 42.51377, ""longitude"": -72.81395}"
01331,"{""latitude"": 42.56728, ""longitude"": -72.18293}"
01337,"{""latitude"": 42.695029999999996, ""longitude"": -72.57711}"
01338,"{""latitude"": 42.57358, ""longitude"": -72.82134}"
01339,"{""latitude"": 42.60801, ""longitude"": -72.89005999999999}"
01340,"{""latitude"": 42.68319, ""longitude"": -72.71797}"
01341,"{""latitude"": 42.50447, ""longitude"": -72.70514}"
01342,"{""latitude"": 42.544509999999995, ""longitude"": -72.60591}"
01343,"{""latitude"": 42.65444, ""longitude"": -72.9811}"
01344,"{""latitude"": 42.60777, ""longitude"": -72.42882}"
01346,"{""latitude"": 42.68892, ""longitude"": -72.817}"
01347,"{""latitude"": 42.561370000000004, ""longitude"": -72.51694}"
01349,"{""latitude"": 42.57271, ""longitude"": -72.48329}"
01350,"{""latitude"": 42.72265, ""longitude"": -72.98244}"
01351,"{""latitude"": 42.54282, ""longitude"": -72.51905}"
01354,"{""latitude"": 42.63366, ""longitude"": -72.51108}"
01355,"{""latitude"": 42.452890000000004, ""longitude"": -72.33044}"
01360,"{""latitude"": 42.67575, ""longitude"": -72.44594000000001}"
01364,"{""latitude"": 42.61292, ""longitude"": -72.29241}"
01366,"{""latitude"": 42.480540000000005, ""longitude"": -72.18777}"
01367,"{""latitude"": 42.6958, ""longitude"": -72.91185}"
01368,"{""latitude"": 42.680820000000004, ""longitude"": -72.18602}"
01370,"{""latitude"": 42.59655, ""longitude"": -72.72864}"
01373,"{""latitude"": 42.47292, ""longitude"": -72.61561999999999}"
01375,"{""latitude"": 42.465109999999996, ""longitude"": -72.55461}"
01376,"{""latitude"": 42.59533, ""longitude"": -72.55579}"
01378,"{""latitude"": 42.6748, ""longitude"": -72.34581}"
01379,"{""latitude"": 42.55285, ""longitude"": -72.40252}"
01420,"{""latitude"": 42.58578, ""longitude"": -71.81662}"
01430,"{""latitude"": 42.66019, ""longitude"": -71.92369000000001}"
01431,"{""latitude"": 42.676520000000004, ""longitude"": -71.82323000000001}"
01432,"{""latitude"": 42.56467, ""longitude"": -71.57139000000001}"
01434,"{""latitude"": 42.538540000000005, ""longitude"": -71.6115}"
01436,"{""latitude"": 42.605470000000004, ""longitude"": -72.08848}"
01438,"{""latitude"": 42.5618, ""longitude"": -72.0317}"
01440,"{""latitude"": 42.587379999999996, ""longitude"": -71.98648}"
01450,"{""latitude"": 42.61368, ""longitude"": -71.56142}"
01451,"{""latitude"": 42.50124, ""longitude"": -71.57378}"
01452,"{""latitude"": 42.48379, ""longitude"": -72.00514}"
01453,"{""latitude"": 42.51863, ""longitude"": -71.76138}"
01460,"{""latitude"": 42.53501, ""longitude"": -71.4891}"
01462,"{""latitude"": 42.58968, ""longitude"": -71.7199}"
01463,"{""latitude"": 42.67127, ""longitude"": -71.60426}"
01464,"{""latitude"": 42.57331, ""longitude"": -71.64837}"
01467,"{""latitude"": 42.48772, ""longitude"": -71.61729}"
01468,"{""latitude"": 42.55208, ""longitude"": -72.06894}"
01469,"{""latitude"": 42.66673, ""longitude"": -71.69396}"
01473,"{""latitude"": 42.55122, ""longitude"": -71.90266}"
01474,"{""latitude"": 42.667840000000005, ""longitude"": -71.75220999999999}"
01475,"{""latitude"": 42.66667, ""longitude"": -72.04899}"
01501,"{""latitude"": 42.1972, ""longitude"": -71.84534000000001}"
01503,"{""latitude"": 42.38378, ""longitude"": -71.63551}"
01504,"{""latitude"": 42.0399, ""longitude"": -71.53121999999999}"
01505,"{""latitude"": 42.35633, ""longitude"": -71.72123}"
01506,"{""latitude"": 42.19365, ""longitude"": -72.10441}"
01507,"{""latitude"": 42.135090000000005, ""longitude"": -71.96803}"
01510,"{""latitude"": 42.4119, ""longitude"": -71.68881999999999}"
01515,"{""latitude"": 42.20328, ""longitude"": -72.0467}"
01516,"{""latitude"": 42.05284, ""longitude"": -71.75092}"
01518,"{""latitude"": 42.123490000000004, ""longitude"": -72.11861}"
01519,"{""latitude"": 42.2011, ""longitude"": -71.68019}"
01520,"{""latitude"": 42.335359999999994, ""longitude"": -71.85284}"
01521,"{""latitude"": 42.06012, ""longitude"": -72.16592}"
01522,"{""latitude"": 42.381370000000004, ""longitude"": -71.86913}"
01523,"{""latitude"": 42.47971, ""longitude"": -71.67844000000001}"
01524,"{""latitude"": 42.24923, ""longitude"": -71.91983}"
01525,"{""latitude"": 42.10683, ""longitude"": -71.63235999999999}"
01527,"{""latitude"": 42.19218, ""longitude"": -71.77416}"
01529,"{""latitude"": 42.03905, ""longitude"": -71.57766}"
01531,"{""latitude"": 42.31929, ""longitude"": -72.12795}"
01532,"{""latitude"": 42.32315, ""longitude"": -71.64621}"
01534,"{""latitude"": 42.14043, ""longitude"": -71.643}"
01535,"{""latitude"": 42.2695, ""longitude"": -72.07795}"
01536,"{""latitude"": 42.23236, ""longitude"": -71.69100999999999}"
01537,"{""latitude"": 42.161570000000005, ""longitude"": -71.89148}"
01540,"{""latitude"": 42.11634, ""longitude"": -71.85733}"
01541,"{""latitude"": 42.45649, ""longitude"": -71.88128}"
01542,"{""latitude"": 42.20187, ""longitude"": -71.91079}"
01543,"{""latitude"": 42.38482, ""longitude"": -71.96727}"
01545,"{""latitude"": 42.28423, ""longitude"": -71.71554}"
01550,"{""latitude"": 42.060390000000005, ""longitude"": -72.03376999999999}"
01560,"{""latitude"": 42.17496, ""longitude"": -71.67756}"
01561,"{""latitude"": 42.44395, ""longitude"": -71.6855}"
01562,"{""latitude"": 42.24715, ""longitude"": -71.99189}"
01564,"{""latitude"": 42.44124, ""longitude"": -71.77297}"
01566,"{""latitude"": 42.1024, ""longitude"": -72.08116}"
01568,"{""latitude"": 42.17702, ""longitude"": -71.60467}"
01569,"{""latitude"": 42.05873, ""longitude"": -71.63708000000001}"
01570,"{""latitude"": 42.05206, ""longitude"": -71.8485}"
01571,"{""latitude"": 42.055009999999996, ""longitude"": -71.93519}"
01581,"{""latitude"": 42.268159999999995, ""longitude"": -71.61402}"
01583,"{""latitude"": 42.37025, ""longitude"": -71.78499000000001}"
01585,"{""latitude"": 42.24152, ""longitude"": -72.16193}"
01588,"{""latitude"": 42.11992, ""longitude"": -71.66955}"
01590,"{""latitude"": 42.13395, ""longitude"": -71.75086999999999}"
01602,"{""latitude"": 42.27223, ""longitude"": -71.84951}"
01603,"{""latitude"": 42.24406, ""longitude"": -71.84445}"
01604,"{""latitude"": 42.251459999999994, ""longitude"": -71.76773}"
01605,"{""latitude"": 42.28947, ""longitude"": -71.78751}"
01606,"{""latitude"": 42.314440000000005, ""longitude"": -71.79556}"
01607,"{""latitude"": 42.22748, ""longitude"": -71.78877}"
01608,"{""latitude"": 42.26185, ""longitude"": -71.80162}"
01609,"{""latitude"": 42.28645, ""longitude"": -71.82895}"
01610,"{""latitude"": 42.24674, ""longitude"": -71.80966}"
01611,"{""latitude"": 42.23829, ""longitude"": -71.87725999999999}"
01612,"{""latitude"": 42.31035, ""longitude"": -71.93077}"
01701,"{""latitude"": 42.321740000000005, ""longitude"": -71.43817}"
01702,"{""latitude"": 42.28217, ""longitude"": -71.43387}"
01718,"{""latitude"": 42.519729999999996, ""longitude"": -71.42939}"
01719,"{""latitude"": 42.48836, ""longitude"": -71.51782}"
01720,"{""latitude"": 42.48417, ""longitude"": -71.43805}"
01721,"{""latitude"": 42.257290000000005, ""longitude"": -71.46866}"
01730,"{""latitude"": 42.496970000000005, ""longitude"": -71.27834}"
